Transmission Parameters,,,,,,,Receiver Parameters,,,,Signal Processing,,,,,Velocity Compensation,,,,,Gate-2 Settings,,,Magnet Parameters,,
Freq,Cyc,Uni-Dir,Tx-Delay,Voltage,PRF,# Burst,Range,Sampling,Gain,Rx Delay,Filter,Filter,Auto Filter,Bandpass Filter,,Ref Temp,Ref Vel,High Temp,Meas Temp,Meas Vel,G2 - Start,G2-Width,TOF Algo,PW,Delay,Voltage
MHz,,,usec,Volts,,,usec,MHz,dBs,usec,Averaging,Noise Reduction,Matched OR Gaussian,Low Cutoff,High Cutoff,( C ),mm/sec,Compensation,( C ),mm/sec,usec,usec,,,,
3,1,No,0,1200,50,1,100,100,0,0,4,1,No,1.5,4.5,25,3.2,No,650,2.88,10,65,Peak-to-Peak,,,
1.5,1,No,0,1200,50,1,100,100,0,0,4,1,No,0.75,2.25,25,3.2,No,650,2.88,10,65,Peak-to-Peak,,,
3,1,No,0,1200,50,1,100,100,0,0,4,1,No,1.5,4.5,25,3.2,No,650,2.88,10,65,Peak-to-Peak,,,
3,1,No,0,1200,50,1,100,100,0,0,4,1,No,1.5,4.5,25,3.2,No,650,2.88,10,65,Peak-to-Peak,,,
1.5,1,No,0,1200,50,1,100,100,0,0,4,1,No,0.75,2.25,25,3.2,No,650,2.88,10,65,Peak-to-Peak,,,
3,1,No,0,1200,50,1,100,100,0,0,4,1,No,1.5,4.5,25,3.2,No,650,2.88,10,65,Peak-to-Peak,,,
1.5,1,No,0,1200,50,1,100,100,0,0,4,1,No,0.75,2.25,25,3.2,No,650,2.88,10,65,Peak-to-Peak,,,
3,1,No,0,1200,50,1,100,100,0,0,4,1,No,1.5,4.5,25,3.2,No,650,2.88,10,65,Peak-to-Peak,,,
3,1,No,0,1200,50,1,100,100,0,0,4,1,No,1.5,4.5,25,3.2,No,650,2.88,10,65,Peak-to-Peak,,,
3,1,No,0,1200,50,1,100,100,0,0,4,1,No,1.5,4.5,25,3.2,No,650,2.88,10,65,Peak-to-Peak,,,
1.5,1,No,0,1200,50,1,100,100,0,0,4,1,No,0.75,2.25,25,3.2,No,650,2.88,10,65,Peak-to-Peak,,,
1.5,2,No,0,1200,50,1,100,100,0,0,4,1,No,0.75,2.25,25,3.2,No,650,2.88,10,65,Peak-to-Peak,,,
2.5,1,No,0,1200,50,1,200,100,0,0,4,1,No,1.25,3.75,25,3.2,No,650,2.88,10,130,Peak-to-Peak,,,
1.5,1,No,0,1200,50,1,200,100,0,0,4,1,No,0.75,2.25,25,3.2,No,650,2.88,10,130,Peak-to-Peak,,,
1,1,No,0,1200,50,1,200,100,0,0,4,1,No,0.5,1.5,25,3.2,No,650,2.88,10,130,Peak-to-Peak,,,
3,1,No,0,1200,50,1,100,100,0,0,4,1,No,1.5,4.5,25,3.2,No,650,2.88,10,65,Peak-to-Peak,,,
3,1,No,0,1200,50,1,100,100,0,0,4,1,No,1.5,4.5,25,3.2,No,650,2.88,10,65,Peak-to-Peak,,,
1.5,1,No,0,1200,50,1,100,100,0,0,4,1,No,0.75,2.25,25,3.2,No,650,2.88,10,65,Peak-to-Peak,,,
3,1,No,0,1200,50,1,200,100,0,0,4,1,No,1.5,4.5,25,5.9,No,650,5.3,10,160,Peak,,,
1.5,1,No,0,1200,50,1,200,100,0,0,4,1,No,0.75,2.25,25,5.9,No,650,5.3,10,160,Peak,,,
3,1,No,0,1200,50,1,100,100,0,0,4,1,No,1.5,4.5,25,5.9,No,650,5.3,10,65,Peak-to-Peak,,,
1.5,1,No,0,1200,50,1,100,100,0,0,4,1,No,0.75,2.25,25,5.9,No,650,5.3,10,65,Peak-to-Peak,,,
3.5,1,No,0,1200,50,1,100,100,0,0,4,1,No,1.75,5.25,25,5.9,No,650,5.3,10,65,Peak-to-Peak,,,
3,1,No,0,1200,50,1,100,100,0,0,4,1,No,1.5,4.5,25,5.9,No,650,5.3,10,65,Peak-to-Peak,,,
4,1,No,0,1200,50,1,100,100,0,0,4,1,No,2,6,25,5.9,No,650,5.3,10,65,Peak-to-Peak,,,
3,1,No,0,1200,50,1,100,100,0,0,4,1,No,1.5,4.5,25,5.9,No,650,5.3,10,65,Peak-to-Peak,,,
3,1,No,0,1200,50,1,200,100,0,0,4,1,No,1.5,4.5,25,3.2,No,650,2.88,10,130,Peak-to-Peak,,,
1.5,1,No,0,1200,50,1,200,100,0,0,4,1,No,0.75,2.25,25,3.2,No,650,2.88,10,130,Peak-to-Peak,,,
3,1,No,0,1200,50,1,100,100,0,0,4,1,No,1.5,4.5,25,3.2,No,650,2.88,10,65,Peak-to-Peak,,,
1.5,1,No,0,1200,50,1,100,100,0,0,4,1,No,0.75,2.25,25,3.2,No,650,2.88,10,65,Peak-to-Peak,,,
3,1,No,0,1200,50,1,100,100,0,0,4,1,No,1.5,4.5,25,3.2,No,650,2.88,10,65,Peak-to-Peak,,,
1.5,1,No,0,1200,50,1,100,100,0,0,4,1,No,0.75,2.25,25,3.2,No,650,2.88,10,65,Peak-to-Peak,,,
3,1,No,0,1200,50,1,100,100,0,0,4,1,No,1.5,4.5,25,3.2,No,650,2.88,10,65,Peak-to-Peak,,,
1.5,1,No,0,1200,50,1,100,100,0,0,4,1,No,0.75,2.25,25,3.2,No,650,2.88,10,65,Peak-to-Peak,,,
3,1,No,0,1200,50,1,200,100,0,0,4,1,No,1.5,4.5,25,3.2,No,650,2.88,10,130,Peak-to-Peak,,,
1.5,1,No,0,1200,50,1,200,100,0,0,4,1,No,0.75,2.25,25,3.2,No,650,2.88,10,130,Peak-to-Peak,,,
